GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Baldr,ca.qc.bdeb.baldr.noyau,Noyau,0,22,0,0,0,6,0,3,0,3
Baldr,ca.qc.bdeb.baldr.noyau,OuvertureFichier,0,37,0,2,0,11,0,3,0,2
Baldr,ca.qc.bdeb.baldr.noyau,GestionnaireResultats.PreferencesAnalyse,11,167,11,23,0,30,11,10,0,4
Baldr,ca.qc.bdeb.baldr.noyau,Projet,16,410,3,19,7,119,3,30,0,22
Baldr,ca.qc.bdeb.baldr.noyau,OutputStreamSizer,0,16,0,0,0,6,0,3,0,3
Baldr,ca.qc.bdeb.baldr.noyau,Sommaire,0,84,1,11,0,24,1,11,0,6
Baldr,ca.qc.bdeb.baldr.noyau,ListeResultats,0,50,0,0,0,12,0,5,0,5
Baldr,ca.qc.bdeb.baldr.noyau,RienASauvegarderException,0,3,0,0,0,1,0,1,0,1
Baldr,ca.qc.bdeb.baldr.noyau,MatriceTriangulaire,0,583,3,77,0,113,3,51,0,14
Baldr,ca.qc.bdeb.baldr.noyau,SaveAndRestore,29,196,2,8,18,56,2,13,0,10
Baldr,ca.qc.bdeb.baldr.noyau,GestionnairePreferences,8,167,0,24,5,38,0,19,0,7
Baldr,ca.qc.bdeb.baldr.noyau,Task,253,3280,64,303,73,762,74,227,13,89
Baldr,ca.qc.bdeb.baldr.noyau,Tri.Type,0,103,0,0,0,13,0,3,0,3
Baldr,ca.qc.bdeb.baldr.noyau,Tri.TypeI18N,0,19,0,0,0,6,0,3,0,3
Baldr,ca.qc.bdeb.baldr.noyau,GestionnaireResultats,8,39,0,2,1,9,1,4,1,3
Baldr,ca.qc.bdeb.baldr.noyau,GestionnaireFiltres,0,201,0,8,0,53,0,18,0,14
Baldr,ca.qc.bdeb.baldr.noyau,Tri,1,733,2,109,1,124,2,68,0,11
Baldr,ca.qc.bdeb.baldr.formattage,TypeCommentaireMultiLigne.TypeCommentaireJava,0,33,0,0,0,2,0,1,0,1
Baldr,ca.qc.bdeb.baldr.formattage,CommentParser.EstCommentaire,0,34,0,0,0,4,0,1,0,1
Baldr,ca.qc.bdeb.baldr.formattage,TypeCommentaireUneLigne.TypeCommentaireAssembleur,0,4,0,0,0,2,0,1,0,1
Baldr,ca.qc.bdeb.baldr.formattage,TypeCommentaireUneLigne.TypeCommentairePython,0,4,0,0,0,2,0,1,0,1
Baldr,ca.qc.bdeb.baldr.formattage,TypeCommentaireMultiLigne,0,123,1,21,0,29,1,15,0,5
Baldr,ca.qc.bdeb.baldr.formattage,CommentParser,2,369,5,61,1,88,5,38,0,10
Baldr,ca.qc.bdeb.baldr.formattage,TypeCommentaire,0,42,1,4,0,14,1,8,0,5
Baldr,ca.qc.bdeb.baldr.formattage,TypeCommentaireMultiLigne.TypeCommentaireSql,0,33,0,0,0,2,0,1,0,1
Baldr,ca.qc.bdeb.baldr.formattage,TypeCommentaireUneLigne,0,28,0,4,0,9,0,4,0,2
Baldr,ca.qc.bdeb.baldr.formattage,ExtrairePDF,284,3,24,0,74,1,16,1,4,1
